no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,debt_to_income,total_assets,assets_to_loan
2,1,0,9600000,29900000,12,778,2400000,17600000,22700000,8000000,1,3.114583008897603,50700000,1.6956521172022703
0,0,1,4100000,12200000,8,417,2700000,2200000,8800000,3300000,0,2.975609030339261,17000000,1.3934425087342206
3,1,0,9100000,29700000,20,506,7100000,4500000,33300000,12800000,0,3.2637359050839665,57700000,1.9427608773481186
3,1,0,8200000,30700000,8,467,18200000,3300000,23300000,7900000,0,3.7439019824509776,52700000,1.716612321934452
5,0,1,9800000,24200000,20,382,12400000,8200000,29400000,5000000,0,2.4693875031237242,55000000,2.2727271788129264
0,1,1,4800000,13500000,10,319,6800000,8300000,13700000,5100000,0,2.8124994140626223,33900000,2.5111109251028942
5,1,0,8700000,33000000,4,678,22500000,14800000,29200000,4300000,1,3.79310301228701,70800000,2.1454544804407734
2,1,1,5700000,15000000,20,382,13200000,5700000,11800000,6000000,0,2.631578485687985,36700000,2.4466665035555666
0,1,1,800000,2200000,20,782,1300000,800000,2800000,600000,1,2.749996562504297,5500000,2.49999886363688
5,0,0,1100000,4300000,10,388,3200000,1400000,3300000,1600000,0,3.9090873553751315,9500000,2.2093018117902763
4,1,1,2900000,11200000,2,547,8100000,4700000,9500000,3100000,1,3.8620676337697812,25400000,2.2678569403699163
2,0,1,6700000,22700000,18,538,15300000,5800000,20400000,6400000,0,3.3880591958120605,47900000,2.1101320656329485
3,0,1,5000000,11600000,16,311,6400000,9600000,14600000,4300000,0,2.319999536000093,34900000,3.008620430291342
2,1,1,9100000,31500000,14,679,10800000,16600000,20900000,5000000,1,3.461538081149661,53300000,1.6920634383471924
1,0,0,1900000,7400000,6,469,1900000,1200000,5900000,1900000,0,3.8947347922448463,10900000,1.4729727739225982
5,0,0,4700000,10700000,10,794,5700000,3900000,16400000,4400000,1,2.2765952602988806,30400000,2.8411212298017543
2,1,1,500000,1600000,4,663,1300000,100000,1300000,700000,1,3.1999936000128,3400000,2.1249986718758302
4,0,1,2900000,9400000,14,780,2900000,2800000,6700000,4300000,1,3.2413781926282095,16700000,1.7765955556813238
2,1,0,2700000,10300000,10,736,1000000,0,6200000,3300000,1,3.8148134019209623,10500000,1.0194173767555945
5,1,0,6300000,14600000,12,652,10300000,3500000,23500000,5900000,1,2.317459949609532,43200000,2.95890390692439
2,1,0,5000000,19400000,12,315,9500000,1600000,18000000,6100000,0,3.879999224000155,35200000,1.8144328961632528
4,1,0,5800000,14000000,16,530,3800000,11300000,22200000,5400000,0,2.4137926872771227,42700000,3.049999782142873
4,1,1,6500000,25700000,18,311,13100000,1700000,19500000,8500000,0,3.9538455455622237,42800000,1.6653695850050745
0,0,1,500000,1400000,2,551,900000,600000,1100000,300000,1,2.7999944000112,2900000,2.0714270918377915
0,0,0,4900000,9800000,16,324,3800000,8700000,10000000,3300000,0,1.999999591836818,25800000,2.6326527925864496
5,0,0,3100000,9500000,20,514,7900000,3100000,6600000,2600000,0,3.0645151404789868,20200000,2.126315565650993
4,1,0,8200000,28100000,12,696,11500000,10600000,25300000,7200000,1,3.4268288503867255,54600000,1.9430604290725826
4,0,1,2400000,5600000,4,662,4500000,4200000,5400000,2500000,1,2.333332361111516,16600000,2.964285184949074
5,0,1,7000000,24000000,6,336,2300000,11900000,27500000,9700000,0,3.42857093877558,51400000,2.141666577430559
3,0,1,9000000,31500000,10,850,21800000,12400000,33700000,8000000,1,3.4999996111111544,75900000,2.4095237330309924
2,0,0,9800000,25300000,12,313,20200000,5200000,25500000,9300000,0,2.581632389629348,60200000,2.379446546266935
2,1,0,5700000,12000000,6,363,3600000,7400000,21700000,4300000,0,2.105262788550388,37000000,3.0833330763889104
1,0,1,800000,1600000,10,436,700000,200000,2200000,1000000,0,1.999997500003125,4100000,2.562498398438501
5,0,1,8400000,22000000,2,830,3800000,3900000,19900000,5400000,1,2.619047307256273,33000000,1.499999931818185
3,1,0,4900000,11900000,8,612,9700000,1200000,19000000,5800000,1,2.4285709329447074,35700000,2.9999997478991807
2,1,1,1700000,3400000,8,691,2700000,2800000,6000000,900000,1,1.9999988235301038,12400000,3.6470577508653674
3,0,0,1600000,6200000,18,636,3400000,700000,5300000,1400000,1,3.874997578126514,10800000,1.741935202913677
5,1,1,8000000,27200000,6,348,6400000,300000,16700000,7100000,0,3.399999575000053,30500000,1.1213234881866365
5,1,0,3600000,7700000,16,830,7000000,1300000,10000000,2900000,1,2.1388882947532513,21200000,2.7532463956822864
3,0,1,1500000,5100000,6,352,100000,200000,5600000,900000,0,3.3999977333348443,6800000,1.3333330718954761
